label,finalScore,finalCash,buildingsPlaced,tilesUsed,serviceShare,housingShare,commercialShare,cashReserve,housingSizeBias,industryAppetite,damPolicy,drainagePolicy,olympicsIntent,slumUpgrades,expansionTiming,twistOrder,treasureTile,treasureHit,preparedFlood,pandemicMet,olympicsQualified,industryPowerShare,industryWaterShare
random,1720,510.0,87,87,0.324,0.130,0.129,0.417,mixed,small,never,none,opportunistic,1,late,flood|pandemic|immigration,0,3,true,false,false,true,0.000,0.000
random,587,40.0,112,112,0.280,0.381,0.129,0.210,mixed,large,never,full,ignore,3,late,pandemic|flood|immigration,6,10,false,true,false,false,0.000,0.000
random,1552,151.5,114,114,0.339,0.227,0.129,0.305,mixed,large,after-flood,partial,ignore,3,late,flood|pandemic|immigration,5,6,true,true,true,false,0.000,0.000
random,431,132.5,139,139,0.218,0.268,0.380,0.135,large,small,after-flood,full,opportunistic,3,late,immigration|pandemic|flood,3,5,true,true,false,true,0.000,0.048
random,2073,379.5,148,148,0.328,0.032,0.522,0.118,small,medium,early,full,committed,4,year0,flood|immigration|pandemic,7,5,true,true,false,true,0.000,0.260
random,-384,139.0,65,65,0.299,0.492,0.035,0.175,medium,medium,early,none,ignore,3,late,immigration|pandemic|flood,4,6,false,true,true,false,0.000,0.000
random,2341,125.3,120,120,0.529,0.106,0.301,0.064,medium,large,never,partial,opportunistic,1,year0,pandemic|flood|immigration,11,1,false,true,false,true,0.000,0.000
random,1115,4.5,113,113,0.195,0.305,0.432,0.068,small,small,early,full,ignore,2,late,pandemic|immigration|flood,8,2,true,true,false,false,0.000,0.222
random,-512,0.5,105,105,0.464,0.290,0.204,0.043,mixed,none,after-flood,full,opportunistic,1,spread,flood|pandemic|immigration,2,2,true,true,false,true,0.000,0.000
random,669,336.0,73,73,0.341,0.151,0.273,0.235,mixed,large,never,none,committed,1,year0,pandemic|immigration|flood,4,13,false,false,false,true,0.000,0.000
random,700,4.5,111,111,0.453,0.511,0.033,0.003,small,large,early,full,ignore,1,late,pandemic|immigration|flood,1,4,true,true,false,false,0.000,0.000
random,162,116.3,120,120,0.289,0.108,0.479,0.124,mixed,large,early,none,opportunistic,4,spread,flood|immigration|pandemic,3,1,true,true,false,true,0.000,0.184
random,973,269.5,114,114,0.300,0.101,0.395,0.203,large,none,early,partial,opportunistic,1,spread,flood|pandemic|immigration,1,1,true,true,false,false,0.000,0.000
random,-177,113.0,88,88,0.344,0.263,0.148,0.246,large,large,early,full,opportunistic,2,year0,pandemic|flood|immigration,9,9,false,true,false,false,0.000,0.000
